Issue key,Summary,Description,Custom field (Cause of issue),Custom field (Request Category),Custom field (Request Type),Custom field (Source),Status,Priority,Created,Resolved,Custom field (Time to first response),Custom field (Time to resolution),Merged Comments
PART1-5272,SO-XXXXXX - TEST,,,,General Questions,Portal,Closed,Medium,2023-07-10 11:51:00,2024-04-26 07:53:00,02:55:00,,"[07/10/2023 01:07] Hi Darb, We will look into this. [07/10/2023 01:07] I think this needs to go to IT [07/10/2023 01:10] h6. ðŸ³ï¸ Message originally posted in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:09 PM OK I will look [07/10/2023 01:10] h6. ðŸ³ï¸ Message originally posted in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:10 PM Darb, Can you tell us more [07/10/2023 01:11] This is what is happeningâ€¦ [07/10/2023 01:21] *[IT-4689]* ""Ticket From - Partner Support - SO-XXXXXX - TEST"" has been changed to a status of *Completed* ---- Please check this issue for more details [07/10/2023 01:21] h6. ðŸ³ï¸ Message originally posted in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:21 PM THis is done [07/10/2023 01:22] h6. ðŸ³ï¸ Message originally posted by [~accountid:557058:f58131cb-b67d-43c7-b30d-6b58d40bd077] in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:22 PM The linked issue - [PART-4358] has been resolved [01/25/2024 11:14] *[ITS-3982]* ""Ticket From - Partner Support - SO-XXXXXX - TEST"" has been changed to a status of *Closed* ---- Please check this issue for more details [04/26/2024 07:53] Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date. Prior to the migration the Resolve date was not used in metrics."
PART1-3843,test 10,,,,Email Request,Email to Jira,Closed,Medium,2023-07-10 01:38:00,2024-04-26 07:53:00,01:37:00,,[04/26/2024 07:53] Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date. Prior to the migration the Resolve date was not used in metrics.
PART1-6049,Test 5 - PART,"MAIN CONTENT:
MAIN CONTENT: MAIN CONTENT: This is a description",,,General Questions,Portal,Closed,Medium,2023-07-07 06:55:00,2024-04-26 07:53:00,03:00:00,,"[07/07/2023 06:59] Working on it [07/07/2023 07:03] This should get moved to ERP [07/07/2023 07:03] Hi Darb, We have escalated your request to our internal team to look into the technical issue. Thanks, Brad - Partner Support [07/07/2023 07:27] h6. ðŸ³ï¸ Message originally posted in [IT-4676|https://capitalareafoodbank.atlassian.net/browse/IT-4676] on 07/Jul/2023 07:27 AM Thanks for escalating to IT. We will check it out. [07/07/2023 07:32] h6. ðŸ³ï¸ Message originally posted in [IT-4676|https://capitalareafoodbank.atlassian.net/browse/IT-4676] on 07/Jul/2023 07:31 AM This is an internal note [07/12/2023 10:13] h6. ðŸ³ï¸ Message originally posted by [~accountid:557058:f58131cb-b67d-43c7-b30d-6b58d40bd077] in [IT-4676|https://capitalareafoodbank.atlassian.net/browse/IT-4676] on 12/Jul/2023 10:13 AM The linked issue - [PART-4341] has been resolved [04/26/2024 07:53] Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date. Prior to the migration the Resolve date was not used in metrics."
PART1-7176,Re: CAFB Pick Up TOMORROW,"REFERENCE NUMBERS:
Order Numbers: SO171615, S-7, SO171615, S-7, SO171615, S-7, SO171615, S-7

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO171615, S-7, SO171615, S-7 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO171615, S-7 MAIN CONTENT: Sent email Friday to cancel order Yvonne Brown Outreach Director On Aug 14, 2024, at 9:05'¯AM, Customer Support (partnersupport@capitalareafoodbank.org) wrote: ï»¿ | | | | Good morning, | | 'Š | | This email confirms your scheduled pickup for tomorrow SO171615. Your selected pickup window is Aug 15, 2024 10:00:00 AM - Aug 15, 2024 11:00:00 AM. | | 'Š | | 'Š | | +Pickup Reminder:+ Please thoroughly review and sign your order before you leave. We recommend bringing a copy of the order with you. If you have any questions, call us at 202-644-9845 or email partnersupport@capitalareafoodbank.org|mailto:partnersupport@capitalareafoodbank.org | | 'Š | | 'Š | | 'Š | | The Partner Support Team | | | | | | 'Š | | | !https: 229676.app.netsuite.com/core/media/media.nl?id=646019&c=229676&h=mnjMtUh0MbywyWwFI0xWyRMdh9aLYrAU-S-7AlbunWYeZ_vL! | Capital Area Food Bank 'Š P. 202.644.9845 4900 Puerto Rico Ave NE, Washington, DC 20017 www.capitalareafoodbank.org|https: www.capitalareafoodbank.org/ | | !https: www.mailjet.com/images/theme/v1/icons/ico-social/facebook.png! | | | !https: www.mailjet.com/images/theme/v1/icons/ico-social/linkedin.png! | | | !https: www.mailjet.com/images/theme/v1/icons/ico-social/twitter.png! | | | !https: www.mailjet.com/images/theme/v1/icons/ico-social/instagram.png! | | |",Request of Customer Relations,Orders - Pre delivery -> Cancelation,Email Request,Email to Jira,Closed,Medium,2024-08-14 09:57:00,2024-08-15 11:16:00,02:59:00,06:41:00,"[08/14/2024 09:57] Hi system@sent-via.netsuite.com, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [08/15/2024 11:14] Good morning, Thank you for contacting customer support. I can confirm that this order has been cancelled. Charity"
PART1-6512,addition,"MAIN CONTENT:
MAIN CONTENT: MAIN CONTENT: Can you please add 25 cases of the following to my order SO 158960 !https: order.capitalareafoodbank.org/sca-dev-2023-2-0/extensions/CAFB/FoodBank/1.0.10/img/no_image_for_item.jpeg",Request of Customer Relations,Orders - Pre delivery -> Produce Request,Email Request,Email to Jira,Closed,Medium,2024-05-07 12:17:00,2024-05-07 12:45:00,02:33:00,15:31:00,"[05/07/2024 12:17] Hi spicepor@yahoo.com, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/07/2024 12:44] Good afternoon, Thank you for contacting customer support. Your order has been updated. Charity"
PART1-6653,Order # SO153494,"REFERENCE NUMBERS:
Order Numbers: SO153494, S17, S863, SO153494, S17, S863

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO153494, S17, S863 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO153494, S17, S863 MAIN CONTENT: Pamella Roberts Rubin Administrative Assistant Metropolitan Seventh-day Adventist Church 6307 Riggs Road Hyattsville, MD 20783 301-853-2224 Fx 301-853-9795",Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,Email Request,Email to Jira,Closed,Medium,2024-05-28 11:55:00,2024-05-28 12:32:00,02:59:00,15:23:00,"[05/28/2024 11:55] Hi secretary@metrosda.org, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/28/2024 12:26] Good afternoon, Thank you for contacting customer service. I have updated your order. Charity"
PART1-6475,Addition to order SO153490,"REFERENCE NUMBERS:
Order Numbers: SO153490, SO153490

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: SO153490 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: SO153490 MAIN CONTENT: Pamella Roberts Rubin Administrative Assistant Metropolitan Seventh-day Adventist Church 6307 Riggs Road Hyattsville, MD 20783 301-853-2224 Fx 301-853-9795",Other,Orders - Pre delivery -> Produce Request,Email Request,Email to Jira,Closed,Medium,2024-05-01 09:27:00,2024-05-01 10:55:00,01:33:00,14:31:00,"[05/01/2024 09:27] Hi spicepor@yahoo.com, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/01/2024 10:53] Good morning, Thank you for contacting customer support. I have added 25 cases of item #827022 Mangos 10# CASE -PG Only 1/10 Lbs Case to SO153490. Charity"
PART1-6611,A little help please!,"MAIN CONTENT:
MAIN CONTENT: MAIN CONTENT: The deadline on our grant (FY24 MD Region MOCO 1-H) for $3,097.61 is May 27, 2024. When we tried to enter an order to use up that grant there were no delivery times available before May 27, because of the holiday weekend. We spoke with Charity in Partner Support and she told us to submit our order with a May 28 delivery day and then email you to get the deadline extended by a day. In addition to extending the deadline, please have your finance department deduct the order from the above mentioned grant. The computer automatically deducted it from our next MOCO grant which expires in June. I apologize for causing you extra work. Thank you for your assistance. Don't hesitate to call if you have any questions. Terry C: 240-793-5108",Request of Customer Relations,Billing / Grants -> Grant Support,Email Request,Email to Jira,Closed,Medium,2024-05-21 02:08:00,2024-05-22 09:24:00,02:59:00,12:44:00,"[05/21/2024 02:08] Hi tjseamens@aol.com, We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [05/21/2024 02:51] Good afternoon, Thank you for contacting customer support. While extensions are not promised, I have notified the Regional Team of your situation and we are working on a solution. We will follow up with you shortly with any updates. Charity"
PART1-6788,cancelling an order #S0164631,"REFERENCE NUMBERS:
Order Numbers: S0164631, S0164631, S0164631, S0164631

MAIN CONTENT:
REFERENCE NUMBERS: Order Numbers: S0164631, S0164631 MAIN CONTENT: REFERENCE NUMBERS: Order Numbers: S0164631 MAIN CONTENT: PLEASE CANCEL OUR ORDER #S0164631 FOR JUNE 21,2024. WE WILL REORDER FOR A DIFFERENT DATE BECAUSE OF A MEMBER'S DEATH AND FUNERAL, ON THE DATE OF THE DATE FOR PICK UP. THANKS. ROBERT G. WILLIAMS JR. MT. MORIAH BAPTIST CHURCH 1636 E. CAPITAL ST, NE WASHINGTON",Request of Customer Relations,Orders - Pre delivery -> Cancelation,Email Request,Email to Jira,Closed,Medium,2024-06-17 11:08:00,2024-06-17 11:32:00,02:59:00,15:35:00,"[06/17/2024 11:08] Hi ROBERT G. WILLIAMS JR., We just received your request for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank [06/17/2024 11:11] okay [06/17/2024 11:24] Good morning, Thank you for contacting customer support. I have cancelled your order. Charity"
PART1-8571,Status of delivery of Groceries to go order,"MAIN CONTENT:
MAIN CONTENT: MAIN CONTENT: Hello - We have not received our Grocery to Go Order as of 2:30 pm. It was supposed to be delivered by 2:00 pm. Please advise. If it is not coming a robo call needs to go out so all the seniors do not show up. Christal Batey On Feb 12, 2025, at 11:05'¯AM, partner Support (partnersupport@capitalareafoodbank.org) wrote: ï»¿ Good morning Partners, We hope this message finds you well. Today, February 12th 2025, the Capital Area Food Bank is operating solely in an administrative capacity, and there will be no deliveries or pickups due to the current weather conditions. For partners who have orders scheduled for tomorrow or Friday, we plan to operate under normal conditions. However, if you anticipate that your agency will be closed due to the weather, please reach out to Customer Relations as soon as possible to discuss rescheduling your order at partnersupport@capitalareafoodbank.org or 202-644-9845. Additionally, even if your site remains open, we require confirmation that your location has been safely plowed and salted to allow for safe deliveries. If a driver arrives at your site and finds it is not adequately prepared, please be aware that your agency may incur a restocking fee. Our delivery equipment cannot navigate through snow or ice safely, and we prioritize the safety of both our drivers and your staff. We appreciate your cooperation and understanding as we work together to ensure everyone's safety during this weather event. We are actively monitoring the situation and will keep you updated with any changes regarding our operations for the rest of the week. Thank you for your partnership. Stay safe and warm! Best regards, Customer Relations",Request of Customer Relations,Agency Administration -> Connection to CAFB Staff,Email Request,Email to Jira,Closed,Medium,2025-02-14 02:30:00,2025-02-14 02:47:00,02:59:00,15:43:00,"[02/14/2025 02:36] Good afternoon, Please reach out to the Senior Program at 202-644-9880 or shs@capitalareafoodbank.org. Unfortunately, we cannot provide an ETA for your Grocery Go Order as that is managed by another department. Thank you, ""D"" [02/14/2025 02:40] I consulted with my fellow team member on the Senior Hunger Program and she let me know that your delivery on Tuesday 2.18. [02/14/2025 02:46] Disregard, Michelle let me know you are talking to someone on her team, thank you!"
